id,diedAt,country
HA0481,404,MACROREG-MAWARANNAHR
HA0482,415,MACROREG-IRAN
HA0484,406,MACROREG-IRAN
HA0484,406,MACROREG-IRAQ
HA0486,407,MACROREG-IRAN
HA0487,408,MACROREG-IRAQ
HA0488,410,MACROREG-IRAN
HA0489,410,MACROREG-ANDALUS
HA0490,412,MACROREG-EGYPT
HA0491,413,MACROREG-EGYPT
HA0492,415,MACROREG-IRAN
HA0492,415,MACROREG-MAGHRIB
HA0493,418,MACROREG-ANDALUS
HA0494,420,MACROREG-IRAN
HA0495,418,MACROREG-IRAQ
HA0495,418,MACROREG-MAWARANNAHR
HA0496,415,MACROREG-IRAQ
HA0497,416,MACROREG-ANDALUS
HA0498,420,MACROREG-ANDALUS
HA0499,420,MACROREG-ANDALUS
HA0500,421,MACROREG-IRAN
HA0502,423,MACROREG-IRAQ
HA0503,421,MACROREG-ANDALUS
HA0504,421,MACROREG-IRAN
HA0504,421,MACROREG-IRAQ
HA0505,423,MACROREG-IRAQ
HA0506,425,MACROREG-MAWARANNAHR
HA0507,426,MACROREG-ANDALUS
HA0508,428,MACROREG-IRAN
HA0509,428,MACROREG-IRAQ
HA0510,436,MACROREG-IRAN
HA0511,430,MACROREG-IRAN
HA0512,431,MACROREG-EGYPT
HA0513,432,MACROREG-ANDALUS
HA0514,433,MACROREG-ANDALUS
HA0515,433,MACROREG-IRAN
HA0516,434,MACROREG-SYRIA
HA0517,437,MACROREG-IRAN
HA0519,439,MACROREG-ANDALUS
HA0520,440,MACROREG-MAGHRIB
HA0521,440,MACROREG-IRAN
HA0522,442,MACROREG-IRAQ
HA0523,445,MACROREG-ANDALUS
HA0524,446,MACROREG-IRAN
HA0525,446,MACROREG-IRAQ
HA0528,449,MACROREG-IRAQ
HA0528,449,MACROREG-MAWARANNAHR
HA0529,449,MACROREG-EGYPT
HA0530,449,MACROREG-IRAN
HA0532,450,MACROREG-IRAQ
HA0534,459,MACROREG-ANDALUS
HA0535,459,MACROREG-ANDALUS
HA0536,460,MACROREG-SARABIA
HA0537,460,MACROREG-ANDALUS
HA0538,463,MACROREG-IRAQ
HA0539,463,MACROREG-ANDALUS
