[35.032081834293066, 49.367036373281465]	[49.367036373281465, 35.032081834293066]	قرية الجن,Jibal	[49.10047798122727, 34.95765320715732]
[34.95765320715732, 49.10047798122727]	[49.10047798122727, 34.95765320715732]	BUZANJIRD_489E349N_S	[48.8341612208966, 34.88322538475994]
RAYY_515E356N_S	[51.50831, 35.62754]	ZIRADABADH_553E366N_S	[55.30802, 36.65798]
RAYY_515E356N_S	[51.50831, 35.62754]	ZIRADABADH_553E366N_S	[55.30802, 36.65798]
QASRRIH_591E360N_S	[59.129, 36.03203]	NAYSABUR_587E361N_S	[58.79841, 36.12138]
QASRRIH_591E360N_S	[59.129, 36.03203]	MAZDURAN_605E361N_S	[60.54672, 36.17215]
[36.03203, 59.129]	[59.129, 36.03203]	KHAKISAR_596E360N_S	[59.600482227644406, 36.08053843652247]
[36.08053843652247, 59.600482227644406]	[59.600482227644406, 36.08053843652247]	SAHIH_601E361N_S	[60.07225567423092, 36.12904522966367]
QASRRIH_591E360N_S	[59.129, 36.03203]	TUS_594E364N_S	[59.49915, 36.42208]
[36.12138, 58.79841]	[58.79841, 36.12138]	بغيشن,Khurasan,Sijistan,Transoxiana	[58.87214706369532, 36.19939399092904]
[36.19939399092904, 58.87214706369532]	[58.87214706369532, 36.19939399092904]	القرية الحمراء,Khurasan,Sijistan,Transoxiana	[58.9459577495321, 36.2774079171882]
[36.2774079171882, 58.9459577495321]	[58.9459577495321, 36.2774079171882]	NUQAN_595E362N_S	[59.01984234172622, 36.35542177864813]
ASADABADH_564E363N_S	[56.45362, 36.32897]	QARINAYN_624E365N_S	[62.44974, 36.5754]
ASADABADH_564E363N_S	[56.45362, 36.32897]	TAQ_621E306N_S	[62.12651, 30.68777]
ASADABADH_564E363N_S	[56.45362, 36.32897]	NIH_600E315N_S	[60.05406, 31.5777]
ASADABADH_564E363N_S	[56.45362, 36.32897]	TUN_581E339N_S	[58.11679, 33.92591]
[36.32897, 56.45362]	[56.45362, 36.32897]	TURTHITH_584E351N_S	[57.29655098627239, 35.131617107350294]
[35.131617107350294, 57.29655098627239]	[57.29655098627239, 35.131617107350294]	KUNDUR_581E351N_S	[57.43670582416987, 34.9324735450525]
[34.24652, 58.63618]	[58.63618, 34.24652]	QAYIN_590E336N_S	[58.912880291705136, 33.84808314112015]
ASADABADH_564E363N_S	[56.45362, 36.32897]	JAYIMAND_598E350N_S	[59.84669, 35.04974]
ASADABADH_564E363N_S	[56.45362, 36.32897]	SANKAN_594E350N_S	[59.41155, 35.05003]
HAMADHAN_485E347N_S	[48.57908, 34.77554]	KARAJ_495E338N_S	[49.54697, 33.88116]
[34.77554, 48.57908]	[48.57908, 34.77554]	طاق سعيد,Jibal	[48.90364834538027, 34.47859336998877]
HAMADHAN_485E347N_S	[48.57908, 34.77554]	ZUBAYDIYYA_468E342N_S	[46.85168, 34.23099]
[34.77554, 48.57908]	[48.57908, 34.77554]	ASADABADH_481E348N_S	[48.3121561414931, 34.69344344311672]
[34.4958, 47.90457]	[47.90457, 34.4958]	QANTARANUMAN_476E344N_S	[47.63854211072381, 34.413706468576386]
[34.413706468576386, 47.63854211072381]	[47.63854211072381, 34.413706468576386]	BISUTUN_474E343N_S	[47.372774815191406, 34.33161382117148]
[34.32388, 47.09845]	[47.09845, 34.32388]	قصر عمرو,Iraq	[46.9656434913635, 34.282905724854395]
HAMADHAN_485E347N_S	[48.57908, 34.77554]	UMAN_564E238N_R	[56.45284, 23.82088]
JIZAH_623E319N_S	[62.3861, 31.9686]	ZARANJ_616E307N_S	[61.61613, 30.7594]
JIZAH_623E319N_S	[62.3861, 31.9686]	QARINAYN_624E365N_S	[62.44974, 36.5754]
JIZAH_623E319N_S	[62.3861, 31.9686]	FARAH_620E323N_S	[62.06561, 32.35928]
JIZAH_623E319N_S	[62.3861, 31.9686]	TAQ_621E306N_S	[62.12651, 30.68777]
JIZAH_623E319N_S	[62.3861, 31.9686]	NIH_600E315N_S	[60.05406, 31.5777]
JIZAH_623E319N_S	[62.3861, 31.9686]	SANKARDAH_675E385N_S	[67.57933, 38.50044]
WASIT_463E321N_S	[46.32308, 32.19497]	KUFA_443E320N_S	[44.39355, 32.03808]
WASIT_463E321N_S	[46.32308, 32.19497]	AHWAZ_486E313N_S	[48.69059, 31.32986]
WASIT_463E321N_S	[46.32308, 32.19497]	BASRA_477E304N_S	[47.71735, 30.40147]
WASIT_463E321N_S	[46.32308, 32.19497]	BAGHDAD_443E333N_S	[44.35693, 33.35932]
[34.47862, 45.93468]	[45.93468, 34.47862]	QASRSHIRIN_456E344N_S	[45.72489917258191, 34.60246326243136]
[34.60246326243136, 45.72489917258191]	[45.72489917258191, 34.60246326243136]	KHANIQIN_454E343N_S	[45.514804554409835, 34.72630569352587]
[34.72630569352587, 45.514804554409835]	[45.514804554409835, 34.72630569352587]	JALULA_451E341N_S	[45.30439422297643, 34.85014729079451]
[34.85014729079451, 45.30439422297643]	[45.30439422297643, 34.85014729079451]	DASKARA_449E339N_S	[45.09366624417358, 34.973988051729215]
[34.973988051729215, 45.09366624417358]	[45.09366624417358, 34.973988051729215]	DAYRBAZAMA_447E336N_S	[44.8826186721819, 35.09782797380276]
[35.09782797380276, 44.8826186721819]	[44.8826186721819, 35.09782797380276]	NAHRAWAN_445E334N_S	[44.67124954935889, 35.221667054468604]
WASIT_463E321N_S	[46.32308, 32.19497]	ZUBAYDIYYA_468E342N_S	[46.85168, 34.23099]
WASIT_463E321N_S	[46.32308, 32.19497]	HULWAN_459E344N_S	[45.93468, 34.47862]
WASIT_463E321N_S	[46.32308, 32.19497]	UMAN_564E238N_R	[56.45284, 23.82088]
JABALLUBNAN_359E341N_O	[35.99225, 34.15941]	NABULUS_352E322N_S	[35.24238, 32.22047]
JABALLUBNAN_359E341N_O	[35.99225, 34.15941]	SUR_352E332N_S	[35.20796, 33.26921]
JABALLUBNAN_359E341N_O	[35.99225, 34.15941]	SAYDA_353E335N_S	[35.37475, 33.56642]
JABALLUBNAN_359E341N_O	[35.99225, 34.15941]	SUKKARIYYA_346E315N_S	[34.65335, 31.56416]
ISBAHAN_516E326N_S	[51.65, 32.66855]	SHIRAZ_525E296N_S	[52.52867, 29.61884]
[31.79256, 51.69552]	[51.69552, 31.79256]	MAS_519E314N_O	[51.82322317563481, 31.357747234256788]
[31.357747234256788, 51.82322317563481]	[51.82322317563481, 31.357747234256788]	KHANRUSHAN_520E312N_S	[51.95034214158791, 30.922935543578582]
ISBAHAN_516E326N_S	[51.65, 32.66855]	SHIRAZ_525E296N_S	[52.52867, 29.61884]
[32.66855, 51.65]	[51.65, 32.66855]	KHANRUSH_517E322N_S	[51.71461519231225, 32.45115893690438]
[32.00251, 51.86732]	[51.86732, 32.00251]	RUZKAN_519E318N_S	[51.9314653898729, 31.7851193573553]
[31.7851193573553, 51.9314653898729]	[51.9314653898729, 31.7851193573553]	AZKAS_521E315N_S	[51.99546077936754, 31.56772885062912]
[31.42233, 52.43219]	[52.43219, 31.42233]	QARYARUMMAN_528E293N_S	[52.495938656424364, 31.204939718695698]
ISBAHAN_516E326N_S	[51.65, 32.66855]	NAJIRAM_511E284N_R	[51.12283, 28.49687]
ISBAHAN_516E326N_S	[51.65, 32.66855]	NAJIRAM_511E284N_R	[51.12283, 28.49687]
ISBAHAN_516E326N_S	[51.65, 32.66855]	SURU_562E271N_S	[56.21348, 27.19067]
ISBAHAN_516E326N_S	[51.65, 32.66855]	SURU_562E271N_S	[56.21348, 27.19067]
ISBAHAN_516E326N_S	[51.65, 32.66855]	KARU_516E317N_S	[51.69552, 31.79256]
ISBAHAN_516E326N_S	[51.65, 32.66855]	ANJIRA_544E321N_S	[54.41329, 32.14014]
ISBAHAN_516E326N_S	[51.65, 32.66855]	ANJIRA_544E321N_S	[54.41329, 32.14014]
ISBAHAN_516E326N_S	[51.65, 32.66855]	ANJIRA_544E321N_S	[54.41329, 32.14014]
[29.97008, 52.92548]	[52.92548, 29.97008]	QARYAIBNBUNDAR_530E301N_S	[53.01848812659416, 29.952890684271953]
[30.63942, 53.18449]	[53.18449, 30.63942]	ABARQUH_532E311N_S	[53.27813491129027, 30.62222979636671]
[30.62222979636671, 53.27813491129027]	[53.27813491129027, 30.62222979636671]	QARYAASAD_538E315N_S	[53.37176319918319, 30.605039615689446]
[30.605039615689446, 53.37176319918319]	[53.37176319918319, 30.605039615689446]	الأرد,Faris	[53.46537487802666, 30.587849457960054]
[30.587849457960054, 53.46537487802666]	[53.46537487802666, 30.587849457960054]	قلعة المجوس,Faris	[53.55896996215791, 30.57065932317034]
ISBAHAN_516E326N_S	[51.65, 32.66855]	ANJIRA_544E321N_S	[54.41329, 32.14014]
[29.97008, 52.92548]	[52.92548, 29.97008]	بئر,Faris	[53.01248857347927, 29.954001643404762]
ISBAHAN_516E326N_S	[51.65, 32.66855]	ANJIRA_544E321N_S	[54.41329, 32.14014]
[31.42233, 52.43219]	[52.43219, 31.42233]	سرمسه,Faris	[52.51272463491294, 31.407671208249642]
[31.407671208249642, 52.51272463491294]	[52.51272463491294, 31.407671208249642]	KARA_531E307N_S	[52.59324669371402, 31.39301243097768]
ISBAHAN_516E326N_S	[51.65, 32.66855]	RASDUNYA_537E300N_S	[53.78841, 30.00577]
[29.97008, 52.92548]	[52.92548, 29.97008]	KALWADHAR_531E298N_S	[53.175980472927755, 29.659063472256943]
[29.659063472256943, 53.175980472927755]	[53.175980472927755, 29.659063472256943]	ZIYADABADHZIYADAWADH_532E298N_S	[53.30103834880392, 29.503615008276995]
GHAMRA_408E218N_S	[40.84007, 21.89675]	MAKKA_398E213N_S	[39.83612, 21.39132]
[21.62677, 40.42853]	[40.42853, 21.62677]	بستان بنى عامر,Jazirat al-Arab,Yemen	[40.094095399371334, 21.459156454189255]
GHAMRA_408E218N_S	[40.84007, 21.89675]	TAIF_404E212N_S	[40.40566, 21.21629]
[21.39132, 39.83612]	[39.83612, 21.39132]	YALAMLAM_400E208N_S	[39.76376701762276, 21.278115125144446]
GHAMRA_408E218N_S	[40.84007, 21.89675]	TAIF_404E212N_S	[40.40566, 21.21629]
[21.39132, 39.83612]	[39.83612, 21.39132]	بئر ابن المرتفع,Jazirat al-Arab,Yemen	[39.781844800232996, 21.306419244842868]
GHAMRA_408E218N_S	[40.84007, 21.89675]	ABYAYN_449E131N_S	[44.96348, 13.14229]
[21.88079, 39.46144]	[39.46144, 21.88079]	KHULAYS_394E221N_S	[39.76784555252195, 21.263662462329766]
GHAMRA_408E218N_S	[40.84007, 21.89675]	ABYAYN_449E131N_S	[44.96348, 13.14229]
