URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii3863	s̲h̲ād̲h̲ilī	s̲h̲ād̲h̲ilī	shadhili	NaN	NAM,PER	no comment
ii2397	ribāṭs	ribāṭs	ribats	NaN	TRM	no comment
ii47633	abū zakariyyāʾ yaḥyā b. abī bakr al-ward̲j̲lānī	abū zakariyyāʾ yaḥyā b. abī bakr al-ward̲j̲lānī	abu zakariyya yahya b. abi bakr al-warjlani	NaN	PER	no comment
ii1035	d̲h̲immī	d̲h̲immī	dhimmi	NaN	TRM	no comment
ii13992	al-ak̲h̲bār al-ṭiwāl	al-ak̲h̲bār al-ṭiwāl	al-akhbar al-tiwal	NaN	BOK	no comment
ii1665	mafātīḥ al-ʿulūm	mafātīḥ al-ʿulūm	mafatih al-ulum	NaN	BOK	no comment
ii1191	gabriel	gabriel	gabriel	NaN	NAM	no comment
ii92	ḥid̲j̲āz	ḥid̲j̲āz	hijaz	NaN	TOP	no comment
ii1272	ism	ism	ism	NaN	TRM	no comment
ii35104	s̲h̲irwānī	s̲h̲irwānī	shirwani	NaN	NAM,PER	no comment
ii759	iḥyāʾ	iḥyāʾ	ihya	NaN	TRM	no comment
ii218763	nahr-i s̲h̲us̲h̲tar čahār-dānig	nahr-i s̲h̲us̲h̲tar čahār-dānig	nahr-i shushtar cahar-danig	NaN	TOP	no comment
ii14639	emperor d̲j̲ahāngīr	emperor d̲j̲ahāngīr	emperor jahangir	NaN	PER	no comment
ii1769	young turks	young turks	young turks	NaN	GRP	no comment
ii12143	baḥr al-hind	baḥr al-hind	bahr al-hind	NaN	TOP	no comment
ii2150	abu ’l-farad̲j̲	abu ’l-farad̲j̲	abu l-faraj	NaN	NAM,PER	no comment
ii4018	lafẓ	lafẓ	lafz	NaN	TRM	no comment
ii1308	ḥamdānids	ḥamdānids	hamdanids	NaN	DYN,GRP	no comment
ii807	mustawfī	mustawfī	mustawfi	NaN	PER	no comment
ii4232	almería	almería	almeria	NaN	TOP	no comment
ii218877	nahr al-malik w. of bag̲h̲dād	nahr al-malik w. of bag̲h̲dād	nahr al-malik w. of baghdad	NaN	TOP	no comment
ii717	al-wāḳidī	al-wāḳidī	al-wakidi	NaN	PER	no comment
ii517	d̲j̲azīra	d̲j̲azīra	jazira	NaN	TOP	no comment
ii1748	ḳanāt	ḳanāt	kanat	NaN	TRM	no comment
ii361	ḳibla	ḳibla	kibla	NaN	REL,TRM	no comment
ii979	karachi	karachi	karachi	NaN	TOP	no comment
ii1086	transcaucasia	transcaucasia	transcaucasia	NaN	TOP	no comment
ii4304	kaʿb b. zuhayr	kaʿb b. zuhayr	kab b. zuhayr	NaN	PER	no comment
ii918	zaydīs	zaydīs	zaydis	NaN	GRP	no comment
ii2251	bābur-nāma	bābur-nāma	babur-nama	NaN	BOK	no comment
ii393	riḥla	riḥla	rihla	NaN	BOK,TRM	no comment
ii1675	mud̲j̲āhid	mud̲j̲āhid	mujahid	NaN	TRM	no comment
ii113	al-masʿūdī	al-masʿūdī	al-masudi	NaN	PER	no comment
ii322	mug̲h̲als	mug̲h̲als	mughals	NaN	DYN,GRP	no comment
ii73238	nahr al-t̲h̲art̲h̲ār	nahr al-t̲h̲art̲h̲ār	nahr al-tharthar	NaN	TOP	no comment
ii3620	kasb	kasb	kasb	NaN	REL,TRM	no comment
ii302	wālī	wālī	wali	NaN	POL,REL,TRM	no comment
ii250	tigris	tigris	tigris	NaN	TOP	no comment
ii1447	yugoslavia	yugoslavia	yugoslavia	NaN	TOP	no comment
ii1333	ʿammān	ʿammān	amman	NaN	TOP	no comment
ii1762	aḥmadiyya	aḥmadiyya	ahmadiyya	NaN	GRP	no comment
ii348	s̲h̲īʿism	s̲h̲īʿism	shiism	NaN	GRP,REL	no comment
