URI	ITEM	TRANSLIT	SEARCH	TRANSLATION	CLASSIFIERS	COMMENT
ii1729	sīrāf	sīrāf	siraf	NaN	TOP	no comment
ii13964	nāsik̲h̲ al-tawārīk̲h̲	nāsik̲h̲ al-tawārīk̲h̲	nasikh al-tawarikh	NaN	BOK	no comment
ii218791	nahr uḳlīs̲h̲	nahr uḳlīs̲h̲	nahr uklish	NaN	TOP	no comment
ii1363	tahd̲h̲īb	tahd̲h̲īb	tahdhib	NaN	BOK,TRM	no comment
ii11567	al-wāsiṭī	al-wāsiṭī	al-wasiti	NaN	PER,TOP	no comment
ii14609	yaḥyā b. yaḥyā	yaḥyā b. yaḥyā	yahya b. yahya	NaN	PER	no comment
ii4122	bosworth	bosworth	bosworth	NaN	PER	no comment
ii263	ibn saʿd	ibn saʿd	ibn sad	NaN	PER	no comment
ii1928	dīwān lug̲h̲āt al-turk	dīwān lug̲h̲āt al-turk	diwan lughat al-turk	NaN	BOK	no comment
ii1870	siberia	siberia	siberia	NaN	TOP	no comment
ii4136	ḥusayn b. ʿalī	ḥusayn b. ʿalī	husayn b. ali	NaN	PER	no comment
ii123769	nahr al-balīk̲h̲	nahr al-balīk̲h̲	nahr al-balikh	NaN	TOP	no comment
ii3525	rubāʿiyyāt	rubāʿiyyāt	rubaiyyat	NaN	LIT,POE,TRM	no comment
ii3691	ḳāḍī al-ḳuḍāt	ḳāḍī al-ḳuḍāt	kadi al-kudat	NaN	ADM,LAW,REL,TRM	no comment
ii1075	abū ʿabd allāh	abū ʿabd allāh	abu abd allah	NaN	PER	no comment
ii823	al-ḥallād̲j̲	al-ḥallād̲j̲	al-hallaj	NaN	PER	no comment
ii256	kalām	kalām	kalam	NaN	REL,TRM	no comment
ii223	edirne	edirne	edirne	NaN	TOP	no comment
ii3833	ḵh̲ālid b. al-walīd	ḵh̲ālid b. al-walīd	khalid b. al-walid	NaN	PER	no comment
ii218804	nahr sarūt	nahr sarūt	nahr sarut	NaN	TOP	no comment
ii534	muḥammad s̲h̲āh	muḥammad s̲h̲āh	muhammad shah	NaN	PER	no comment
ii1881	baku	baku	baku	NaN	TOP	no comment
ii218870	nahr al-sabt	nahr al-sabt	nahr al-sabt	NaN	TOP	no comment
ii1390	selīm ii	selīm ii	selim ii	NaN	PER	no comment
ii1579	al-ḥimyarī	al-ḥimyarī	al-himyari	NaN	NAM,PER	no comment
ii333	near east	near east	near east	NaN	TOP	no comment
ii1802	washington	washington	washington	NaN	TOP	no comment
ii2093	lisān	lisān	lisan	NaN	BOK,TRM	no comment
ii15001	ibn abi ’l-ḍiyāf	ibn abi ’l-ḍiyāf	ibn abi l-diyaf	NaN	PER	no comment
ii6010	allahabad	allahabad	allahabad	NaN	TOP	no comment
ii5538	communism	communism	communism	NaN	GRP,POL	no comment
ii1419	k̲h̲ārid̲j̲ites	k̲h̲ārid̲j̲ites	kharijites	NaN	GRP	no comment
ii2087	āt̲h̲ār	āt̲h̲ār	athar	NaN	BOK,TRM	no comment
ii124	alexandria	alexandria	alexandria	NaN	TOP	no comment
ii611	musnad	musnad	musnad	NaN	TRM	no comment
ii1073	noah	noah	noah	NaN	NAM	no comment
ii1630	ibn	ibn	ibn	NaN	TRM	no comment
ii1196	al-damīrī	al-damīrī	al-damiri	NaN	PER	no comment
ii261	marw	marw	marw	NaN	TOP	no comment
ii1669	ʿabbās i	ʿabbās i	abbas i	NaN	PER	no comment
ii1784	d̲j̲amāʿa	d̲j̲amāʿa	jamaa	NaN	TRM	no comment
ii1243	al-subkī	al-subkī	al-subki	NaN	PER	no comment
ii833	ḥarrān	ḥarrān	harran	NaN	TOP	no comment
ii1521	raḳḳa	raḳḳa	rakka	NaN	TOP	no comment
ii3749	southern arabia	southern arabia	southern arabia	NaN	TOP	no comment
ii1139	göttingen	göttingen	gottingen	NaN	TOP	no comment
ii1840	iṣṭak̲h̲r	iṣṭak̲h̲r	istakhr	NaN	TOP	no comment
ii68	yemen	yemen	yemen	NaN	TOP	no comment
ii499	sāmānids	sāmānids	samanids	NaN	DYN,GRP	no comment
ii618	karbalāʾ	karbalāʾ	karbala	NaN	TOP	no comment
ii2249	florence	florence	florence	NaN	TOP	no comment
ii1876	naples	naples	naples	NaN	TOP	no comment
ii671	al-ḳayrawān	al-ḳayrawān	al-kayrawan	NaN	TOP	no comment
ii218873	nahr al-nahrawān	nahr al-nahrawān	nahr al-nahrawan	NaN	TOP	no comment
ii3777	al-nawbak̲h̲tī	al-nawbak̲h̲tī	al-nawbakhti	NaN	PER	no comment
ii14691	ʿalāʾ al-dīn ḥusayn	ʿalāʾ al-dīn ḥusayn	ala al-din husayn	NaN	PER	no comment
ii1466	rāwī	rāwī	rawi	NaN	TRM	no comment
ii218774	nahr ḥiṣn al-mahdī	nahr ḥiṣn al-mahdī	nahr hisn al-mahdi	NaN	TOP	no comment
ii1686	ʿumar ii	ʿumar ii	umar ii	NaN	PER	no comment
ii1179	al-raḳḳa	al-raḳḳa	al-rakka	NaN	TOP	no comment
ii5631	masʿūd b. muḥammad	masʿūd b. muḥammad	masud b. muhammad	NaN	PER	no comment
ii354	sicily	sicily	sicily	NaN	TOP	no comment
ii2019	kināna	kināna	kinana	NaN	GRP	no comment
ii929	rhodes	rhodes	rhodes	NaN	TOP	no comment
ii3892	muḥammad b. al-ḳāsim	muḥammad b. al-ḳāsim	muhammad b. al-kasim	NaN	PER	no comment
ii2152	dihlī sultanate	dihlī sultanate	dihli sultanate	NaN	GRP,POL,TOP	no comment
ii3436	ibāḍism	ibāḍism	ibadism	NaN	GRP,REL	no comment
ii6	prophet	prophet	prophet	NaN	PER,TRM	no comment
ii17	dīwān	dīwān	diwan	NaN	BOK,TRM	no comment
ii1411	abū hās̲h̲im	abū hās̲h̲im	abu hashim	NaN	NAM	no comment
ii5996	d̲j̲amāl ʿabd al-nāṣir	d̲j̲amāl ʿabd al-nāṣir	jamal abd al-nasir	NaN	PER	no comment
ii4400	ibn ḥafṣūn	ibn ḥafṣūn	ibn hafsun	NaN	PER	no comment
ii227	gud̲j̲arāt	gud̲j̲arāt	gujarat	NaN	TOP	no comment
ii4034	ṭahmāsp i	ṭahmāsp i	tahmasp i	NaN	PER	no comment
ii190	al-idrīsī	al-idrīsī	al-idrisi	NaN	PER	no comment
ii548	ansāb	ansāb	ansab	NaN	BOK,TRM	no comment
ii426	d̲j̲ahāngīr	d̲j̲ahāngīr	jahangir	NaN	PER	no comment
ii2100	peter	peter	peter	NaN	NAM	no comment
ii2157	sokoto	sokoto	sokoto	NaN	TOP	no comment
ii2119	nestorians	nestorians	nestorians	NaN	GRP,REL	no comment
ii108	cambridge	cambridge	cambridge	NaN	TOP	no comment
ii5635	ṭāhir b. al-ḥusayn	ṭāhir b. al-ḥusayn	tahir b. al-husayn	NaN	PER	no comment
ii31183	bulgarian-speaking muslims	bulgarian-speaking muslims	bulgarian-speaking muslims	NaN	GRP,REL,TOP	no comment
ii948	zayd	zayd	zayd	NaN	PER	no comment
ii1213	al-bāḳillānī	al-bāḳillānī	al-bakillani	NaN	PER	no comment
ii1843	ibn s̲h̲addād	ibn s̲h̲addād	ibn shaddad	NaN	PER	no comment
ii690	muk̲h̲taṣar	muk̲h̲taṣar	mukhtasar	NaN	TRM	no comment
ii63298	nahr t̲h̲awrā	nahr t̲h̲awrā	nahr thawra	NaN	TOP	no comment
ii149	tabrīz	tabrīz	tabriz	NaN	TOP	no comment
ii34978	al-s̲h̲ūrā	al-s̲h̲ūrā	al-shura	NaN	POL,TRM	no comment
ii181	s̲h̲īrāz	s̲h̲īrāz	shiraz	NaN	TOP	no comment
ii800	zanāta	zanāta	zanata	NaN	GRP	no comment
ii958	ʿāmil	ʿāmil	amil	NaN	TRM	no comment
ii4025	al-kattānī	al-kattānī	al-kattani	NaN	ECN,NAM,PER	no comment
ii189	d̲j̲ihād	d̲j̲ihād	jihad	NaN	TRM	no comment
ii4412	pečenegs	pečenegs	pecenegs	NaN	ETN,GRP	no comment
ii1026	marrakesh	marrakesh	marrakesh	NaN	TOP	no comment
ii349	sayyid	sayyid	sayyid	NaN	SOC,TRM	no comment
ii551	arabica	arabica	arabica	NaN	BOK	no comment
ii1580	ḥadd	ḥadd	hadd	NaN	TRM	no comment
ii1685	ag̲h̲labids	ag̲h̲labids	aghlabids	NaN	GRP	no comment
ii1025	ins̲h̲āʾ	ins̲h̲āʾ	insha	NaN	TRM	no comment
ii2269	ḥaḳīḳa	ḥaḳīḳa	hakika	NaN	REL,TRM	no comment
ii218802	nahr saʿīd	nahr saʿīd	nahr said	NaN	TOP	no comment
ii218863	nahr al-s̲h̲ās̲h̲	nahr al-s̲h̲ās̲h̲	nahr al-shash	NaN	TOP	no comment
ii3596	ʿabbāsid caliphate	ʿabbāsid caliphate	abbasid caliphate	NaN	DYN,TOP	no comment
ii206	d̲h̲u ’l-ḳaʿda	d̲h̲u ’l-ḳaʿda	dhu l-kada	NaN	TRM	no comment
ii769	fatḥ ʿalī s̲h̲āh	fatḥ ʿalī s̲h̲āh	fath ali shah	NaN	PER	no comment
ii14950	bāb al-ṣag̲h̲īr	bāb al-ṣag̲h̲īr	bab al-saghir	NaN	TOP	no comment
ii1581	k̲h̲aybar	k̲h̲aybar	khaybar	NaN	TOP	no comment
ii3572	ḳūt al-ḳulūb	ḳūt al-ḳulūb	kut al-kulub	NaN	BOK,REL	no comment
ii487	upper egypt	upper egypt	upper egypt	NaN	TOP	no comment
ii957	e. lévi-provençal	e. lévi-provençal	e. levi-provencal	NaN	PER	no comment
ii311	mad̲h̲hab	mad̲h̲hab	madhhab	NaN	REL,TRM	no comment
ii1294	s̲h̲ams al-dīn	s̲h̲ams al-dīn	shams al-din	NaN	NAM	no comment
ii552	baybars	baybars	baybars	NaN	PER	no comment
ii1354	bidʿa	bidʿa	bida	NaN	TRM	no comment
ii764	meḥemmed	meḥemmed	mehemmed	NaN	NAM	no comment
ii14582	andreas	andreas	andreas	NaN	NAM	no comment
ii1417	ismāʿīliyya	ismāʿīliyya	ismailiyya	NaN	GRP,REL	no comment
ii4022	al-afg̲h̲ānī	al-afg̲h̲ānī	al-afghani	NaN	NAM,PER,TOP	no comment
ii15129	syrian nizārīs	syrian nizārīs	syrian nizaris	NaN	GRP,REL,TOP	no comment
ii5623	saʿūdī arabia	saʿūdī arabia	saudi arabia	NaN	TOP	no comment
ii838	sūs	sūs	sus	NaN	TOP	no comment
ii972	sultanate	sultanate	sultanate	NaN	TRM	no comment
ii114	algeria	algeria	algeria	NaN	TOP	no comment
ii942	ṭūs	ṭūs	tus	NaN	TOP	no comment
ii4045	gypsies	gypsies	gypsies	NaN	ETN,GRP	no comment
ii689	walī	walī	wali	NaN	TRM	no comment
ii489	georgia	georgia	georgia	NaN	TOP	no comment
ii4520	hanover	hanover	hanover	NaN	TOP	no comment
ii1178	nihāya	nihāya	nihaya	NaN	BOK,TRM	no comment
ii31059	hūlāgū k̲h̲ān	hūlāgū k̲h̲ān	hulagu khan	NaN	PER	no comment
ii843	pīr	pīr	pir	NaN	TRM	no comment
ii2020	ṭuk̲h̲āristān	ṭuk̲h̲āristān	tukharistan	NaN	TOP	no comment
ii382	balkans	balkans	balkans	NaN	TOP	no comment
ii1330	wallachia	wallachia	wallachia	NaN	TOP	no comment
ii1885	ibn ʿabd al-barr	ibn ʿabd al-barr	ibn abd al-barr	NaN	PER	no comment
ii1615	zagros	zagros	zagros	NaN	TOP	no comment
ii285	ibn ḥazm	ibn ḥazm	ibn hazm	NaN	PER	no comment
ii1467	al-d̲j̲uwaynī	al-d̲j̲uwaynī	al-juwayni	NaN	PER	no comment
ii2006	ibn ʿabbād	ibn ʿabbād	ibn abbad	NaN	PER	no comment
ii2536	louvain	louvain	louvain	NaN	TOP	no comment
ii582	isnād	isnād	isnad	NaN	TRM	no comment
ii1462	ḥisba	ḥisba	hisba	NaN	TRM	no comment
ii585	ḳānūn	ḳānūn	kanun	NaN	TRM	no comment
ii2573	iḳlīm	iḳlīm	iklim	NaN	TRM	no comment
ii691	tatars	tatars	tatars	NaN	GRP	no comment
ii1005	edessa	edessa	edessa	NaN	TOP	no comment
ii1355	aḥmed iii	aḥmed iii	ahmed iii	NaN	PER	no comment
ii514	ʿabd al-raḥmān	ʿabd al-raḥmān	abd al-rahman	NaN	NAM	no comment
ii1224	ramla	ramla	ramla	NaN	TOP	no comment
ii3738	ḵh̲ālid	ḵh̲ālid	khalid	NaN	NAM	no comment
ii476	constantine	constantine	constantine	NaN	NAM,PER	no comment
ii2084	meḥmed pas̲h̲a	meḥmed pas̲h̲a	mehmed pasha	NaN	PER	no comment
ii1342	goldziher	goldziher	goldziher	NaN	PER	no comment
ii2311	nūr	nūr	nur	NaN	TRM	no comment
ii4250	ibn rad̲j̲ab	ibn rad̲j̲ab	ibn rajab	NaN	PER	no comment
ii2026	frankfurt	frankfurt	frankfurt	NaN	TOP	no comment
ii2060	cossacks	cossacks	cossacks	NaN	GRP,MIL,SOC	no comment
ii157	buk̲h̲ārā	buk̲h̲ārā	bukhara	NaN	TOP	no comment
ii750	ḥamza	ḥamza	hamza	NaN	PER	no comment
ii656	al-ras̲h̲īd	al-ras̲h̲īd	al-rashid	NaN	PER	no comment
ii1459	naḳīb	naḳīb	nakib	NaN	TRM	no comment
ii1884	ottoman turkey	ottoman turkey	ottoman turkey	NaN	TOP	no comment
ii6465	mubāriz al-dīn	mubāriz al-dīn	mubariz al-din	NaN	NAM,PER	no comment
ii2043	ṣaḳāliba	ṣaḳāliba	sakaliba	NaN	GRP	no comment
ii1602	tād̲j̲	tād̲j̲	taj	NaN	TRM	no comment
ii51	aleppo	aleppo	aleppo	NaN	TOP	no comment
ii131	al-maʾmūn	al-maʾmūn	al-mamun	NaN	PER	no comment
ii1331	circassians	circassians	circassians	NaN	GRP	no comment
ii1915	ibn tūmart	ibn tūmart	ibn tumart	NaN	PER	no comment
ii463	yaḥyā	yaḥyā	yahya	NaN	NAM,PER	no comment
ii279	ibn al-nadīm	ibn al-nadīm	ibn al-nadim	NaN	PER	no comment
ii1960	taʿrīfāt	taʿrīfāt	tarifat	NaN	TRM	no comment
ii10104	nahr ʿīsā	nahr ʿīsā	nahr isa	NaN	TOP	no comment
ii1003	g̲h̲ulām	g̲h̲ulām	ghulam	NaN	TRM	no comment
ii1625	normans	normans	normans	NaN	GRP	no comment
ii1344	arabian peninsula	arabian peninsula	arabian peninsula	NaN	TOP	no comment
ii481	al-muʿtaṣim	al-muʿtaṣim	al-mutasim	NaN	PER	no comment
ii484	arabs	arabs	arabs	NaN	ETN,GRP	no comment
ii1838	uzbeks	uzbeks	uzbeks	NaN	GRP	no comment
ii123771	nahr abū fuṭrus	nahr abū fuṭrus	nahr abu futrus	NaN	TOP	no comment
ii2049	g̲h̲āna	g̲h̲āna	ghana	NaN	TOP	no comment
ii4074	lake urmiya	lake urmiya	lake urmiya	NaN	TOP	no comment
ii1432	sūras	sūras	suras	NaN	REL,TRM	no comment
ii4504	ṣāḥib al-s̲h̲urṭa	ṣāḥib al-s̲h̲urṭa	sahib al-shurta	NaN	ADM,MIL,TRM	no comment
ii2230	g̲h̲ayba	g̲h̲ayba	ghayba	NaN	REL,TRM	no comment
ii2305	sufyān al-t̲h̲awrī	sufyān al-t̲h̲awrī	sufyan al-thawri	NaN	PER,REL	no comment
ii1188	ʿaṭṭār	ʿaṭṭār	attar	NaN	ECN,NAM,PER	no comment
ii1379	sad̲j̲ʿ	sad̲j̲ʿ	saj	NaN	TRM	no comment
ii2015	al-ḥusayn b. ʿalī	al-ḥusayn b. ʿalī	al-husayn b. ali	NaN	PER	no comment
ii1056	hülegü	hülegü	hulegu	NaN	PER	no comment
ii845	murād iii	murād iii	murad iii	NaN	PER	no comment
ii479	al-ḳazwīnī	al-ḳazwīnī	al-kazwini	NaN	PER	no comment
ii1939	aragon	aragon	aragon	NaN	TOP	no comment
ii4456	k̲h̲ārid̲j̲ism	k̲h̲ārid̲j̲ism	kharijism	NaN	GRP,REL	no comment
ii2280	ibn isfandiyār	ibn isfandiyār	ibn isfandiyar	NaN	PER	no comment
ii73233	nahr balk̲h̲	nahr balk̲h̲	nahr balkh	NaN	TOP	no comment
ii15128	s̲h̲ams al-dīn iltutmis̲h̲	s̲h̲ams al-dīn iltutmis̲h̲	shams al-din iltutmish	NaN	PER	no comment
ii784	uṣūl al-fiḳh	uṣūl al-fiḳh	usul al-fikh	NaN	TRM	no comment
ii218792	nahr t̲h̲art̲h̲ār	nahr t̲h̲art̲h̲ār	nahr tharthar	NaN	TOP	no comment
ii371	ḳaḍāʾ	ḳaḍāʾ	kada	NaN	REL,TRM	no comment
ii15154	mud̲h̲akkirāt	mud̲h̲akkirāt	mudhakkirat	NaN	BOK,TRM	no comment
ii687	golden horde	golden horde	golden horde	NaN	GRP	no comment
ii2219	al-dīnawarī	al-dīnawarī	al-dinawari	NaN	PER	no comment
ii218864	nahr al-s̲h̲āh	nahr al-s̲h̲āh	nahr al-shah	NaN	TOP	no comment
ii384	humāyūn	humāyūn	humayun	NaN	PER	no comment
ii4267	imāmism	imāmism	imamism	NaN	GRP,REL	no comment
ii188	wiesbaden	wiesbaden	wiesbaden	NaN	TOP	no comment
ii793	nasīb	nasīb	nasib	NaN	TRM	no comment
ii73235	nahr al-ḵh̲āliṣ	nahr al-ḵh̲āliṣ	nahr al-khalis	NaN	TOP	no comment
ii1932	ṣāḥib	ṣāḥib	sahib	NaN	TRM	no comment
ii291	mawṣil	mawṣil	mawsil	NaN	TOP	no comment
ii260	persian gulf	persian gulf	persian gulf	NaN	TOP	no comment
ii218881	nahr al-k̲h̲awṣar	nahr al-k̲h̲awṣar	nahr al-khawsar	NaN	TOP	no comment
ii888	oran	oran	oran	NaN	TOP	no comment
ii434	s̲h̲arīf	s̲h̲arīf	sharif	NaN	SOC,TRM	no comment
ii2061	ʿabbās mīrzā	ʿabbās mīrzā	abbas mirza	NaN	PER	no comment
ii383	hungary	hungary	hungary	NaN	TOP	no comment
ii2134	dīn	dīn	din	NaN	REL,TRM	no comment
ii89	ottoman empire	ottoman empire	ottoman empire	NaN	DYN,GRP,POL	no comment
ii4007	tid̲j̲ānī	tid̲j̲ānī	tijani	NaN	NAM,PER	no comment
ii2577	al-s̲h̲aʿrānī	al-s̲h̲aʿrānī	al-sharani	NaN	NAM,PER	no comment
ii15178	ibn ʿad̲j̲ība	ibn ʿad̲j̲ība	ibn ajiba	NaN	PER	no comment
ii113748	abū ʿāṣim al-nabīl	abū ʿāṣim al-nabīl	abu asim al-nabil	NaN	PER	no comment
ii3951	d̲j̲azīrat ibn ʿumar	d̲j̲azīrat ibn ʿumar	jazirat ibn umar	NaN	TOP	no comment
ii5	syria	syria	syria	NaN	TOP	no comment
ii1392	indian union	indian union	indian union	NaN	GRP	no comment
ii606	bible	bible	bible	NaN	BOK	no comment
ii1610	muwas̲h̲s̲h̲aḥ	muwas̲h̲s̲h̲aḥ	muwashshah	NaN	TRM	no comment
ii3489	ibn hubayra	ibn hubayra	ibn hubayra	NaN	PER	no comment
ii346	k̲h̲arād̲j̲	k̲h̲arād̲j̲	kharaj	NaN	ECN,TRM	no comment
ii3561	ottoman egypt	ottoman egypt	ottoman egypt	NaN	DYN,TOP	no comment
ii2268	k̲h̲ums	k̲h̲ums	khums	NaN	ECN,REL,TRM	no comment
ii420	s̲h̲āfiʿīs	s̲h̲āfiʿīs	shafiis	NaN	GRP,REL	no comment
ii2088	tirmid̲h̲	tirmid̲h̲	tirmidh	NaN	TOP	no comment
ii123762	nahr ḏj̲ūr	nahr ḏj̲ūr	nahr jur	NaN	TOP	no comment
ii81	iṣfahān	iṣfahān	isfahan	NaN	TOP	no comment
ii35208	central syria	central syria	central syria	NaN	TOP	no comment
ii1174	wakīl	wakīl	wakil	NaN	TRM	no comment
ii4179	maimonides	maimonides	maimonides	NaN	PER	no comment
ii1042	hid̲j̲āʾ	hid̲j̲āʾ	hija	NaN	TRM	no comment
ii988	k̲h̲ānḳāh	k̲h̲ānḳāh	khankah	NaN	TRM	no comment
ii828	judaism	judaism	judaism	NaN	GRP,REL	no comment
ii218794	nahr tustar	nahr tustar	nahr tustar	NaN	TOP	no comment
ii825	amasya	amasya	amasya	NaN	TOP	no comment
ii2285	united nations	united nations	united nations	NaN	POL	no comment
ii4263	constantine porphyrogenitus	constantine porphyrogenitus	constantine porphyrogenitus	NaN	PER	no comment
ii340	almohads	almohads	almohads	NaN	DYN,GRP	no comment
ii3498	ʿabbās ii	ʿabbās ii	abbas ii	NaN	PER	no comment
ii31037	imru ’l-ḳays	imru ’l-ḳays	imru l-kays	NaN	PER	no comment
ii866	rad̲j̲az	rad̲j̲az	rajaz	NaN	TRM	no comment
ii226	asia minor	asia minor	asia minor	NaN	TOP	no comment
ii874	waḳfs	waḳfs	wakfs	NaN	TRM	no comment
ii1255	budapest	budapest	budapest	NaN	TOP	no comment
ii1824	ʿuyūn	ʿuyūn	uyun	NaN	TRM	no comment
ii610	tanbīh	tanbīh	tanbih	NaN	TRM	no comment
ii414	konya	konya	konya	NaN	TOP	no comment
ii827	ḳaṣaba	ḳaṣaba	kasaba	NaN	TRM	no comment
ii818	abyssinia	abyssinia	abyssinia	NaN	TOP	no comment
ii218806	nahr samura	nahr samura	nahr samura	NaN	TOP	no comment
ii699	ʿīsā	ʿīsā	isa	NaN	PER	no comment
ii14976	s̲h̲īrāz-nāma	s̲h̲īrāz-nāma	shiraz-nama	NaN	BOK,TOP	no comment
ii3757	daniel	daniel	daniel	NaN	NAM	no comment
ii3398	ibn ʿammār	ibn ʿammār	ibn ammar	NaN	PER	no comment
ii752	abū yūsuf	abū yūsuf	abu yusuf	NaN	PER	no comment
ii1947	bidāya	bidāya	bidaya	NaN	TRM	no comment
ii87	persians	persians	persians	NaN	ETN,GRP	no comment
ii1177	acre	acre	acre	NaN	TOP	no comment
ii35003	al-ḥaddād	al-ḥaddād	al-haddad	NaN	NAM,PER,SOC	no comment
ii725	masd̲j̲id	masd̲j̲id	masjid	NaN	TRM	no comment
ii74	north africa	north africa	north africa	NaN	TOP	no comment
ii928	morea	morea	morea	NaN	TOP	no comment
ii35232	al-ṣaffār	al-ṣaffār	al-saffar	NaN	NAM,SOC	no comment
ii877	ḳonya	ḳonya	konya	NaN	TOP	no comment
ii31001	karl marx	karl marx	karl marx	NaN	PER	no comment
ii14979	sultan süleymān i	sultan süleymān i	sultan suleyman i	NaN	PER	no comment
ii6433	aḥmad k̲h̲ān	aḥmad k̲h̲ān	ahmad khan	NaN	PER	no comment
ii4445	ʿayyārūn	ʿayyārūn	ayyarun	NaN	GRP,SOC	no comment
ii218811	nahr ouessel	nahr ouessel	nahr ouessel	NaN	TOP	no comment
ii2045	muḥaddit̲h̲	muḥaddit̲h̲	muhaddith	NaN	TRM	no comment
ii4201	al-zad̲j̲d̲j̲ād̲j̲ī	al-zad̲j̲d̲j̲ād̲j̲ī	al-zajjaji	NaN	ECN,NAM,PER	no comment
ii1523	maḳāma	maḳāma	makama	NaN	TRM	no comment
ii11561	muḥammad b. sām	muḥammad b. sām	muhammad b. sam	NaN	PER	no comment
ii8591	muḳātila	muḳātila	mukatila	NaN	MIL,REL,TRM	no comment
ii3680	cappadocia	cappadocia	cappadocia	NaN	TOP	no comment
ii1022	ag̲h̲a	ag̲h̲a	agha	NaN	TRM	no comment
ii1952	muḥammad b. al-ḥanafiyya	muḥammad b. al-ḥanafiyya	muhammad b. al-hanafiyya	NaN	PER	no comment
ii1506	isnāds	isnāds	isnads	NaN	REL,TRM	no comment
ii623	prime minister	prime minister	prime minister	NaN	TRM	no comment
ii218765	nahr-i dāriyān	nahr-i dāriyān	nahr-i dariyan	NaN	TOP	no comment
ii123766	nahr bīṭī	nahr bīṭī	nahr biti	NaN	TOP	no comment
ii744	ibn ʿasākir	ibn ʿasākir	ibn asakir	NaN	PER	no comment
ii4062	abd̲j̲ad	abd̲j̲ad	abjad	NaN	TRM	no comment
ii4064	risālas	risālas	risalas	NaN	TRM	no comment
ii2193	iḥyāʾ ʿulūm al-dīn	iḥyāʾ ʿulūm al-dīn	ihya ulum al-din	NaN	BOK	no comment
ii6001	d̲j̲ābir b. ḥayyān	d̲j̲ābir b. ḥayyān	jabir b. hayyan	NaN	PER	no comment
ii1053	al-māwardī	al-māwardī	al-mawardi	NaN	PER	no comment
ii1626	müderris	müderris	muderris	NaN	TRM	no comment
ii1067	sūḳ	sūḳ	suk	NaN	ECN,TRM	no comment
ii1542	stuttgart	stuttgart	stuttgart	NaN	TOP	no comment
ii1659	ctesiphon	ctesiphon	ctesiphon	NaN	TOP	no comment
ii2149	aḥmed pas̲h̲a	aḥmed pas̲h̲a	ahmed pasha	NaN	PER	no comment
ii419	ismāʿīlīs	ismāʿīlīs	ismailis	NaN	GRP,REL	no comment
ii3875	al-marrākus̲h̲ī	al-marrākus̲h̲ī	al-marrakushi	NaN	NAM,PER	no comment
ii2236	herodotus	herodotus	herodotus	NaN	PER	no comment
ii1416	s̲h̲ād̲h̲iliyya	s̲h̲ād̲h̲iliyya	shadhiliyya	NaN	GRP,REL	no comment
ii39	anatolia	anatolia	anatolia	NaN	TOP	no comment
ii1023	zand̲j̲	zand̲j̲	zanj	NaN	GRP	no comment
ii4104	marwān b. muḥammad	marwān b. muḥammad	marwan b. muhammad	NaN	PER	no comment
ii1133	al-buḥturī	al-buḥturī	al-buhturi	NaN	PER	no comment
ii1307	gulistān	gulistān	gulistan	NaN	BOK,POE,TRM	no comment
ii438	fatwā	fatwā	fatwa	NaN	REL,TRM	no comment
ii1410	muwaṭṭaʾ	muwaṭṭaʾ	muwatta	NaN	TRM	no comment
ii1893	k̲h̲usraw	k̲h̲usraw	khusraw	NaN	TRM	no comment
ii3445	usāma b. munḳid̲h̲	usāma b. munḳid̲h̲	usama b. munkidh	NaN	PER	no comment
ii2108	is̲h̲ārāt	is̲h̲ārāt	isharat	NaN	TRM	no comment
ii885	sībawayhi	sībawayhi	sibawayhi	NaN	PER	no comment
ii3555	ṭabaḳāt al-s̲h̲āfiʿiyya	ṭabaḳāt al-s̲h̲āfiʿiyya	tabakat al-shafiiyya	NaN	BOK,LAW,REL	no comment
ii3748	al-nad̲j̲d̲j̲ār	al-nad̲j̲d̲j̲ār	al-najjar	NaN	NAM,TRM	no comment
ii822	s̲h̲āh d̲j̲ahān	s̲h̲āh d̲j̲ahān	shah jahan	NaN	PER	no comment
ii108827	nahr rād̲h̲ān	nahr rād̲h̲ān	nahr radhan	NaN	TOP	no comment
ii1831	tibet	tibet	tibet	NaN	TOP	no comment
ii380	ṭabaḳāt	ṭabaḳāt	tabakat	NaN	BOK,TRM	no comment
ii5999	tewārīk̲h̲-i āl-i ʿot̲h̲mān	tewārīk̲h̲-i āl-i ʿot̲h̲mān	tewarikh-i al-i othman	NaN	BOK	no comment
ii1813	genoa	genoa	genoa	NaN	TOP	no comment
ii1942	tashkent	tashkent	tashkent	NaN	TOP	no comment
ii433	al-nāṣir	al-nāṣir	al-nasir	NaN	NAM,PER	no comment
ii2205	ḥarām	ḥarām	haram	NaN	TRM	no comment
ii512	ibn al-faḳīh	ibn al-faḳīh	ibn al-fakih	NaN	PER	no comment
ii1483	salafiyya	salafiyya	salafiyya	NaN	GRP	no comment
ii1971	nawwāb	nawwāb	nawwab	NaN	TRM	no comment
ii708	al-muʿtamid	al-muʿtamid	al-mutamid	NaN	PER	no comment
ii331	britain	britain	britain	NaN	TOP	no comment
ii391	al-suyūṭī	al-suyūṭī	al-suyuti	NaN	PER	no comment
ii1336	ʿumar b. ʿabd al-ʿazīz	ʿumar b. ʿabd al-ʿazīz	umar b. abd al-aziz	NaN	PER	no comment
ii13930	al-ḳāmūs al-muḥīṭ	al-ḳāmūs al-muḥīṭ	al-kamus al-muhit	NaN	BOK	no comment
