node_without_coord,nearest_coords
مخيل,"[['HALIMAN_222E327N_S', 1], ['JUBBMAYDAN_233E321N_S', 2]]"
بخارا,"[['BAYKAND_640E395N_S', 1], ['JIKAM_647E395N_S', 1]]"
ويلة,"[['SUGHAR_354E310N_S', 1], ['MAAB_357E312N_S', 2]]"
برزانيان,"[['AWA_505E346N_S', 1], ['KARAJ_495E338N_S', 2]]"
نهر تيري,"[['AHWAZ_486E313N_R', 1], ['SHURAB_487E312N_S', 2]]"
قنب,"[['MUSH_414E387N_S', 1], ['SINNNUHAS_416E393N_S', 1]]"
كير حراس,"[['QASRLUSUS_479E344N_S', 1], ['NIHAWAND_483E342N_S', 1]]"
يحيى اباذ,"[['KHUSRAWJIRD_574E361N_S', 1], ['HUSAYNABADH_579E361N_S', 2]]"
كركوه,"[['RIBATAFRIGHUN_652E372N_S', 2], ['QABRGHIYATH_653E375N_S', 3]]"
كركويش,"[['DARAQAN_487E334N_S', 3], ['LUR_483E325N_R', 3]]"
كسكانة,"[['RAYY_515E356N_S', 1], ['QUSTANA_510E354N_S', 2]]"
رباط جرا,"[['AWA_505E346N_S', 2], ['RAYY_515E356N_S', 3]]"
قسطان,"[['MASHKUYA_507E353N_S', 1], ['RAYY_515E356N_S', 1]]"
خرمة,"[['DARIYAN_529E295N_S', 1], ['KATH_607E417N_S', 1]]"
خاره,"[['QARYAMAJUS_541E317N_S', 1], ['RIBATMAYANAH_627E345N_S', 1]]"
جدیلة,"[['DATHINA_458E138N_R', 2], ['QUBA_721E405N_S', 3]]"
سيوه,"[['MASHKA_639E274N_S', 3], ['MANSURA_688E258N_S', 3]]"
بنكث الشاش,"[['TURMUGHAN_708E407N_S', 3], ['JAJISTAN_704E405N_S', 4]]"
السمينة,"[['QARYATAYN_164E311N_O', 1], ['SURT_166E310N_S', 2]]"
قصبة الدورق,"[['MANDAM_488E310N_S', 1], ['DAWRAQ_489E308N_S', 2]]"
نهر دبا,"[['UBULLA_478E304N_S', 1], ['FAMADUDI_481E304N_W', 1]]"
نفشارية,"[['QALUNIYAAWFI_384E403N_S', 1], ['SINNNUHAS_416E393N_S', 2]]"
النوق,"[['KHUSRAWJIRD_574E361N_S', 1], ['HUSAYNABADH_579E361N_S', 2]]"
سالوس,"[['KALLAR_519E307N_S', 1], ['NATIL_519E364N_S', 1]]"
جاجستان,"[['TURMUGHAN_708E407N_S', 1], ['JAJISTAN_704E405N_S', 2]]"
