name,lat,lng,status
الفوارة,10.50881,33.55129,old
بناكث,68.80969,40.71867,old
رباط كرزوان,63.81969,35.61955,old
البيلقان,47.46081,39.86701,old
جب أمير المؤمنين,null,null,null
كسحان,64.54957,35.88354,old
عسكر ابى جعفر,null,null,null
مه,52.2805,28.05331,old
رفح,34.25897,31.3087,old
الإحساء,49.54137,25.34929,old
يافه,34.75362,32.06237,old
سارية,53.11807,36.53215,old
دمياط,31.79125,31.43739,old
ذمار,44.3972,14.56364,old
الزيتونة,10.10538,34.35352,old
ماذرواستان,null,null,null
برزانيان,null,null,null
مرو,62.10386,37.67193,old
زردوخ بريدا,60.852726582700605,41.347068500885776,new
حصن زياد,39.2247,38.75874,old
قندابيل,67.48191,28.62665,old
كفر سلام,null,null,null
ارسطا,null,null,null
جبل,45.69795767796142,32.54752260738091,new
جدة,39.1779,21.46201,old
المغار,null,null,null
زمخشر,59.71005,42.21861,old
السرین,null,null,null
همذان,48.57908,34.77554,old
باب الأبواب,48.30854,42.04308,old
الفهرج,60.66186,27.28057,old
امده,null,null,null
راكاه,48.54618,34.42798,old
قصر الفيل,null,null,null
قرية الجمال,55.70689,30.31412,old
عجلة,null,null,null
البردان,44.36092,33.50829,old
مرجهينة,null,null,null
قرية المجوس,54.19969,31.74166,old
بغلان,68.77093,36.2356,old
بومينه,29.71572,30.93264,old
طليطلة,-4.0521,39.88926,old
رباط الحجرية,65.88026,31.39074,old
شورمين,63.51568,34.72729,old
ينابد,null,null,null
ارسوف,34.80739,32.19588,old
باراب,68.29439,42.7449,old
القلزم,32.55684,30.02822,old
أندرابة,null,null,null
المنصف,32.05366,30.18702,old
جراناباذ,49.80108196937178,33.755301395837456,new
الرمادة,59.66585,36.08,old
خسو,54.40794,28.5161,old
الجسر المحترق,null,null,null
كرب,54.21531,28.26649,old
السيب,44.8461,32.97916,old
الكرسي,null,null,null
قرية العصبيات,null,null,null
غروة,49.89724,31.54027,old
ارجان,50.39420281090096,30.516402041185316,new
قلعة المجوس,null,null,null
سلماس,44.82832,38.22277,old
أوش,72.85752,40.53599,old
تاكنست,null,null,null
الفارياب,64.93938,36.46025,old
الرور,68.90569,27.65788,old
رباط سنده,61.76738,41.23222,old
روزوند,59.57135652860644,41.93308413409383,new
الكوفة,44.39355,32.03808,old
قرقوب,47.70188,32.17254,old
الغمرة,40.84007,21.89675,old
المدينة,39.60908,24.47782,old
بنكث الشاش,null,null,null
كهن روذ,null,null,null
مروالروذ,null,null,null
كنجاباذ,63.98233,35.78873,old
رباط قهستان,63.54388,31.36919,old
جوراب,48.90536,34.21059,old
الحوران,36.73153,32.65059,old
أذرعات,36.09087,32.61046,old
خاوص,68.82906,40.22314,old
درهفان,null,null,null
المدائن,44.602267294362576,33.16991960956949,new
تيمارستان,null,null,null
بلخان,66.00329,37.51897,old
الروحاء,39.2976,24.11893,old
الحارله,null,null,null
خيسار,62.58466,34.27292,old
بيلمان,null,null,null
ساوة,50.42711,34.97799,old
مندم,48.881,31.02269,old
أرمية,null,null,null
عمان,35.91903,31.93113,old
بشتر,61.67570606812987,31.491506936951556,new
بلد ابن الملاين,null,null,null
النقموذية,null,null,null
سمرقند,67.03225,39.67905,old
به,61.33378,26.22927,old
كندك,66.78829,38.37384,old
رايكان,58.96653,36.81951,old
بارجاخ,70.80406,42.62635,old
خونج,47.2569,37.38856,old
ناتل,51.91951,36.47768,old
جلاب,38.91048,37.41051,old
نابادغين,62.06959,40.79993,old
درسان,59.6050628560162,42.539988391062124,new
الدستجرده,66.6411,36.8334,old
قارا,null,null,null
حسيناباذ,57.92813,36.10768,old
أندخوذ,65.16655,36.95541,old
ركان,52.74824,29.7751,old
الشقوق,43.41491,29.08495,old
منزل,null,null,null
درزده,67.06451,39.31836,old
قرية جومة,null,null,null
خان رش,51.79877,32.23981,old
طباش,75.81567,41.16025,old
مهدي آباذ,62.38345603403166,37.14288843618541,new
سابرخاست,null,null,null
آلوسة,42.07197597479552,34.33611327915894,new
تل اعفر,42.49401,36.36312,old
جزيرة بنى زغناى,null,null,null
مشكى,63.94609,27.46467,old
