URI	TOP	TRANSLIT	TYPE	LAT	LON	REG_MESO	MESO_LAT	MESO_LON	MESO_COLOR	MACRO	MACRO_LAT	MACRO_LON	MACRO_COLOR
būlāḳ	būlāḳ	būlāḳ	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
andalusian	andalusian	andalusian	TYPE	LAT	LON	Spain	40.463667	-3.74922	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
byzantium	byzantium	byzantium	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
ḥaydarābād	ḥaydarābād	ḥaydarābād	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
transoxania	transoxania	transoxania	TYPE	LAT	LON	Uzbekistan	41.377491	64.585262	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
vienna	vienna	vienna	TYPE	LAT	LON	Austria	47.516231	14.550072	Black	Western Europe	48.3439821111111	7.589095333333335	Black
sudan	sudan	sudan	TYPE	LAT	LON	Sudan	12.862807	30.217636	Black	North Africa	26.278070285714282	9.92387657142857	Black
rome	rome	rome	TYPE	LAT	LON	Italy	41.87194	12.56738	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
ḵh̲urāsān	ḵh̲urāsān	ḵh̲urāsān	TYPE	LAT	LON	Iran	32.427908	53.688046	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
nile	nile	nile	TYPE	LAT	LON	Egypt	26.820553	30.802498	Black	North Africa	26.278070285714282	9.92387657142857	Black
edirne	edirne	edirne	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
sind	sind	sind	TYPE	LAT	LON	Pakistan	30.375321	69.345116	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
asia minor	asia minor	asia minor	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
gud̲j̲arāt	gud̲j̲arāt	gud̲j̲arāt	TYPE	LAT	LON	India	20.593684	78.96288	Black	South-Central Asia	29.74557607142857	73.26570192857143	Black
bursa	bursa	bursa	TYPE	LAT	LON	Turkey	38.963745	35.243322	Black	Southern Europe	41.20148417647059	14.134280411764706	Black
